Abrangência;nome;sigla;Casos.confirmados;Óbitos;dia;confirmados
Unidade da Federação;SÃO PAULO;SP;136;NA;2020-03-15;136
Unidade da Federação;PARANÁ;PR;  6;NA;2020-03-15;  6
Unidade da Federação;SANTA CATARINA;SC;  6;NA;2020-03-15;  6
Unidade da Federação;RIO GRANDE DO SUL;RS;  6;NA;2020-03-15;  6
Unidade da Federação;MATO GROSSO DO SUL;MS;  0;NA;2020-03-15;  0
Unidade da Federação;MATO GROSSO;MT;  0;NA;2020-03-15;  0
Unidade da Federação;GOIÁS;GO;  3;NA;2020-03-15;  3
Unidade da Federação;DISTRITO FEDERAL;DF;  8;NA;2020-03-15;  8
Unidade da Federação;RONDÔNIA;RO;  0;NA;2020-03-16;  0
Unidade da Federação;ACRE;AC;  0;NA;2020-03-16;  0
Unidade da Federação;AMAZONAS;AM;  1;NA;2020-03-16;  1
Unidade da Federação;RORAIMA;RR;  0;NA;2020-03-16;  0
Unidade da Federação;PARÁ;PA;  0;NA;2020-03-16;  0
Unidade da Federação;AMAPÁ;AP;  0;NA;2020-03-16;  0
Unidade da Federação;TOCANTINS;TO;  0;NA;2020-03-16;  0
Unidade da Federação;MARANHÃO;MA;  0;NA;2020-03-16;  0
Unidade da Federação;PIAUÍ;PI;  0;NA;2020-03-16;  0
Unidade da Federação;CEARÁ;CE;  0;NA;2020-03-16;  0
Unidade da Federação;RIO GRANDE DO NORTE;RN;  1;NA;2020-03-16;  1
Unidade da Federação;PARAÍBA;PB;  0;NA;2020-03-16;  0
Unidade da Federação;PERNAMBUCO;PE;  2;NA;2020-03-16;  2
Unidade da Federação;ALAGOAS;AL;  1;NA;2020-03-16;  1
Unidade da Federação;SERGIPE;SE;  1;NA;2020-03-16;  1
Unidade da Federação;BAHIA;BA;  2;NA;2020-03-16;  2
Unidade da Federação;MINAS GERAIS;MG;  5;NA;2020-03-16;  5
Unidade da Federação;ESPÍRITO SANTO;ES;  1;NA;2020-03-16;  1
Unidade da Federação;RIO DE JANEIRO;RJ; 31;NA;2020-03-16; 31
Unidade da Federação;SÃO PAULO;SP;152;NA;2020-03-16;152
Unidade da Federação;PARANÁ;PR;  6;NA;2020-03-16;  6
