dia;sigla;nome;confirmados;obitos
2020-03-12;BA;BAHIA;   2;NA
2020-03-12;CE;CEARÁ;   0;NA
2020-03-12;DF;DISTRITO FEDERAL;   2;NA
2020-03-12;ES;ESPÍRITO SANTO;   1;NA
2020-03-12;GO;GOIÁS;   0;NA
2020-03-12;MA;MARANHÃO;   0;NA
2020-03-12;MT;MATO GROSSO;   0;NA
2020-03-12;MS;MATO GROSSO DO SUL;   0;NA
2020-03-12;MG;MINAS GERAIS;   1;NA
2020-03-12;PA;PARÁ;   0;NA
2020-03-12;PB;PARAÍBA;   0;NA
2020-03-12;PR;PARANÁ;   0;NA
2020-03-12;PE;PERNAMBUCO;   0;NA
2020-03-12;PI;PIAUÍ;   0;NA
2020-03-12;RJ;RIO DE JANEIRO;  16;NA
2020-03-12;RN;RIO GRANDE DO NORTE;   0;NA
2020-03-12;RS;RIO GRANDE DO SUL;   4;NA
2020-03-12;RO;RONDÔNIA;   0;NA
2020-03-12;RR;RORAIMA;   0;NA
2020-03-12;SC;SANTA CATARINA;   0;NA
2020-03-12;SP;SÃO PAULO;  41;NA
2020-03-12;SE;SERGIPE;   0;NA
2020-03-12;TO;TOCANTINS;   0;NA
2020-03-13;AC;ACRE;   0;NA
2020-03-13;AL;ALAGOAS;   1;NA
2020-03-13;AP;AMAPÁ;   0;NA
2020-03-13;AM;AMAZONAS;   0;NA
2020-03-13;BA;BAHIA;   2;NA
2020-03-13;CE;CEARÁ;   0;NA
2020-03-13;DF;DISTRITO FEDERAL;   2;NA
2020-03-13;ES;ESPÍRITO SANTO;   1;NA
2020-03-13;GO;GOIÁS;   3;NA
2020-03-13;MA;MARANHÃO;   0;NA
2020-03-13;MT;MATO GROSSO;   0;NA
2020-03-13;MS;MATO GROSSO DO SUL;   0;NA
2020-03-13;MG;MINAS GERAIS;   2;NA
2020-03-13;PA;PARÁ;   0;NA
2020-03-13;PB;PARAÍBA;   0;NA
2020-03-13;PR;PARANÁ;   6;NA
2020-03-13;PE;PERNAMBUCO;   2;NA
2020-03-13;PI;PIAUÍ;   0;NA
2020-03-13;RJ;RIO DE JANEIRO;  16;NA
2020-03-13;RN;RIO GRANDE DO NORTE;   1;NA
2020-03-13;RS;RIO GRANDE DO SUL;   4;NA
2020-03-13;RO;RONDÔNIA;   0;NA
2020-03-13;RR;RORAIMA;   0;NA
2020-03-13;SC;SANTA CATARINA;   2;NA
2020-03-13;SP;SÃO PAULO;  56;NA
2020-03-13;SE;SERGIPE;   0;NA
2020-03-13;TO;TOCANTINS;   0;NA
2020-03-14;AC;ACRE;   0;NA
2020-03-14;AL;ALAGOAS;   1;NA
2020-03-14;AP;AMAPÁ;   0;NA
2020-03-14;AM;AMAZONAS;   0;NA
2020-03-14;BA;BAHIA;   2;NA
2020-03-14;CE;CEARÁ;   0;NA
